date,mean,sd,skewness,kurtosis,contrast,dissimilarity,homogeneity,ASM,entropy,energy,lag1_mean,lag2_mean,lag3_mean,lag4_mean
1998-01-01,-11.850115,0.4326091,-0.561297624937584,-0.1754453462432295,0.10989010989010989,0.10989010989010989,0.945054945054945,0.4761502234029706,1.3756616329944755,0.6900363928105319,-10.405063,-11.532533,-10.176977,-11.7563505
1998-05-01,-9.900038,0.14231282,0.2289792309715125,-0.9346886129524101,0.14285714285714285,0.14285714285714285,0.9285714285714286,0.49981886245622514,1.3725983612579058,0.7069786859985421,-11.850115,-10.405063,-11.532533,-10.176977
1998-09-01,-11.602112,0.33951795,-0.6708775997059188,-0.22519425517434222,0.04395604395604396,0.04395604395604396,0.978021978021978,0.72901823451274,0.7961260184142894,0.8538256464365193,-9.900038,-11.850115,-10.405063,-11.532533
1998-12-01,-9.953515,0.15124044,0.02990789389348671,-0.9360501574169127,0.12637362637362637,0.12637362637362637,0.9368131868131868,0.42885822968240545,1.4814120607422046,0.6548726820401088,-11.602112,-9.900038,-11.850115,-10.405063
1999-01-01,-11.707427,0.39396802,-0.36969926798101727,-0.6430558149297769,0.0989010989010989,0.0989010989010989,0.9505494505494505,0.5679265789155898,1.1946556315744492,0.7536090358505462,-9.953515,-11.602112,-9.900038,-11.850115
1999-05-01,-9.850772,0.2899897,-0.3649049229472397,-0.8964090290272324,0.07692307692307694,0.07692307692307694,0.9615384615384617,0.516181620577225,1.2499002771761625,0.7184578070960222,-11.707427,-9.953515,-11.602112,-9.900038
1999-09-01,-11.372521,0.33778405,-0.5578275378808591,-0.6250753028715335,0.08791208791208792,0.08791208791208792,0.956043956043956,0.6213621543291873,1.2472342350669505,0.7882652816972134,-9.850772,-11.707427,-9.953515,-11.602112
1999-12-01,-10.773953,0.23701039,-0.17541447287377526,-0.5057939806452776,0.03296703296703297,0.03296703296703297,0.9835164835164836,0.7077647627098177,0.8121611490625316,0.8412875624361849,-11.372521,-9.850772,-11.707427,-9.953515
2000-01-01,-11.263333,0.36210963,-0.35537066912162646,-0.5922871335999225,0.11538461538461539,0.11538461538461539,0.9423076923076923,0.46248943364327977,1.562745381120318,0.6800657568524383,-10.773953,-11.372521,-9.850772,-11.707427
2000-05-01,-9.629959,0.24822547,-0.014808647378113625,-1.0958013363372148,0.016483516483516484,0.016483516483516484,0.9917582417582418,0.8750603791812583,0.42053820251433593,0.9354466201666765,-11.263333,-10.773953,-11.372521,-9.850772
2000-09-01,-11.674583,0.38146555,-0.4514782448960194,-0.3987636029057495,0.06043956043956044,0.06043956043956044,0.9697802197802198,0.6715825383407802,0.939417263752193,0.8195013961798846,-9.629959,-11.263333,-10.773953,-11.372521
2000-12-01,-10.780804,0.18080886,0.15350340893396894,-0.8864150222604974,0.06043956043956044,0.06043956043956044,0.9697802197802197,0.743313005675643,0.7925207232665601,0.8621560216548064,-11.674583,-9.629959,-11.263333,-10.773953
1999-01-01,-9999.0,0.0,,,0.0,0.0,1.0,1.0,-0.0,1.0,,,,
1999-05-01,-11.470293,0.44717094,0.6929223352806305,-0.3496718238389098,0.11538461538461539,0.11538461538461539,0.9423076923076923,0.540257819103973,1.4699828732412765,0.7350223255820009,-9999.0,,,
1999-09-01,-9999.0,0.0,,,0.0,0.0,1.0,1.0,-0.0,1.0,-11.470293,-9999.0,,
1999-12-01,-12.341556,0.39454967,0.9706607193769999,0.2175825756454075,0.07692307692307693,0.07692307692307693,0.9615384615384616,0.6050597753894457,1.093036058811612,0.7778558834317869,-9999.0,-11.470293,-9999.0,
2000-01-01,-12.636312,0.64583415,0.615110299698589,-0.29284326584946907,0.17032967032967034,0.17032967032967034,0.9148351648351648,0.28038582296824055,2.2436897626045074,0.5295147051482523,-12.341556,-9999.0,-11.470293,-9999.0
2000-05-01,-11.367782,0.4638511,0.9451802105373514,0.007602136217785382,0.08791208791208793,0.08791208791208793,0.9560439560439562,0.5707644004347302,1.1736321684377777,0.7554895104729981,-12.636312,-12.341556,-9999.0,-11.470293
2000-09-01,-13.002009,0.63064307,0.6829249111414515,-0.14841653798530396,0.18681318681318682,0.18681318681318682,0.9065934065934066,0.29634102161574694,2.225667628653867,0.544372135230806,-11.367782,-12.636312,-12.341556,-9999.0
2000-12-01,-12.16259,0.42732096,1.2141262532102097,0.6451387030782731,0.11538461538461539,0.11538461538461539,0.9423076923076923,0.5027019683613091,1.4464433930214797,0.7090147871245769,-13.002009,-11.367782,-12.636312,-12.341556
2001-01-01,-12.754021,0.6947497,0.659666150696336,-0.11895833017049506,0.18681318681318682,0.18681318681318682,0.9065934065934067,0.26578915589904606,2.28505733645179,0.5155474332193364,-12.16259,-13.002009,-11.367782,-12.636312
2001-05-01,-11.671536,0.5537597,0.6707239275327738,-0.46558802265926547,0.14835164835164835,0.14835164835164835,0.9258241758241758,0.3053828040091776,2.0941488156740995,0.552614516647163,-12.754021,-12.16259,-13.002009,-11.367782
2001-09-01,-12.859171,0.65099216,0.618652292846795,-0.14676152682181653,0.16483516483516483,0.16483516483516483,0.9175824175824175,0.28317836010143704,2.1553043795253086,0.5321450555078352,-11.671536,-12.754021,-12.16259,-13.002009
2001-12-01,-11.70813,0.42188773,1.248273108664339,0.5911335057200717,0.2142857142857143,0.2142857142857143,0.8928571428571429,0.31371513102282345,2.1229910331365134,0.5601027861230682,-12.859171,-11.671536,-12.754021,-12.16259
2002-01-01,-12.709327,0.71217185,0.8563002484809021,-0.12303946928441523,0.2142857142857143,0.2142857142857143,0.8928571428571428,0.24651310228233303,2.4700310059825465,0.49650085828962376,-11.70813,-12.859171,-11.671536,-12.754021
2002-05-01,-11.559421,0.52901113,1.0363282454126104,0.1499443555362956,0.14835164835164835,0.14835164835164835,0.9258241758241759,0.3817020891196716,1.9340976230321765,0.6178204343655781,-12.709327,-11.70813,-12.859171,-11.671536
2002-09-01,-12.690982,0.63031745,0.8215153915577756,-0.03047817881412751,0.17032967032967034,0.17032967032967034,0.9148351648351648,0.2737441130298273,2.2495813487795027,0.5232056125748531,-11.559421,-12.709327,-11.70813,-12.859171
2002-12-01,-11.969248,0.49576128,1.269763790611743,0.6383272092280659,0.17032967032967034,0.17032967032967034,0.9148351648351649,0.373007487018476,1.9228947472492708,0.6107433888454922,-12.690982,-11.559421,-12.709327,-11.70813
2003-01-01,-12.794233,0.74722326,0.8069444984972781,-0.22040428382162913,0.1868131868131868,0.1868131868131868,0.9065934065934067,0.26760053133679507,2.363398270438657,0.5173011998215306,-11.969248,-12.690982,-11.559421,-12.709327
2003-05-01,-11.315756,0.5939935,1.0063881308306157,0.026268472949897426,0.16483516483516483,0.16483516483516483,0.9175824175824174,0.44046612727931406,1.824715033923991,0.663676221722094,-12.794233,-11.969248,-12.690982,-11.559421
2003-09-01,-12.777237,0.6948722,0.9085978780062908,-0.04526300301720099,0.1758241758241758,0.1758241758241758,0.9120879120879121,0.2745441371814998,2.2566716063830112,0.523969595665149,-11.315756,-12.794233,-11.969248,-12.690982
2003-12-01,-11.591326,0.4354179,1.0821879519149793,0.356331370672649,0.1758241758241758,0.1758241758241758,0.912087912087912,0.4512136215432919,1.7771657569331176,0.6717243642620773,-12.777237,-11.315756,-12.794233,-11.969248
2004-01-01,-12.5321,0.7127029,0.9236295266120952,-0.04433709105685457,0.2142857142857143,0.2142857142857143,0.8928571428571428,0.2323843738678904,2.5663667881745837,0.4820626244253856,-11.591326,-12.777237,-11.315756,-12.794233
2004-05-01,-11.364682,0.6229955,0.9771942649737756,-0.0020683814538071665,0.15384615384615385,0.15384615384615385,0.9230769230769231,0.3740490278951818,2.108485768279898,0.6115954773338189,-12.5321,-11.591326,-12.777237,-11.315756
2004-09-01,-12.465722,0.6770081,0.8730973960884698,0.04465119585573962,0.19780219780219782,0.19780219780219782,0.9010989010989012,0.2950730588093226,2.392293050396631,0.5432062764818928,-11.364682,-12.5321,-11.591326,-12.777237
2004-12-01,-11.815255,0.4876615,1.1422603366880635,0.5826673181274047,0.18681318681318687,0.18681318681318687,0.9065934065934067,0.28722376524574333,2.1482406019697464,0.5359326125976505,-12.465722,-11.364682,-12.5321,-11.591326
